SampleColumn	Replication	Identifier	File
GSM2609096_Count_mock_1hr_RNA_Seq.txt	GSM2609096_Count_mock_1hr_RNA_Seq.txt		GSM2609096_Count_mock_1hr_RNA_Seq.txt.gz
GSM2609096_Count_mock_1hr_RNA_Seq.txt	GSM2609096_Count_mock_1hr_RNA_Seq.txt		GSM2609096_Count_mock_1hr_RNA_Seq.txt.gz
GSM2609096_Count_mock_1hr_RNA_Seq.txt	GSM2609096_Count_mock_1hr_RNA_Seq.txt		GSM2609096_Count_mock_1hr_RNA_Seq.txt.gz
GSM2609096_Count_mock_1hr_RNA_Seq.txt	GSM2609096_Count_mock_1hr_RNA_Seq.txt		GSM2609096_Count_mock_1hr_RNA_Seq.txt.gz
GSM2609096_Count_mock_1hr_RNA_Seq.txt	GSM2609096_Count_mock_1hr_RNA_Seq.txt		GSM2609096_Count_mock_1hr_RNA_Seq.txt.gz
GSM2609097_Count_mock_3hr_RNA_Seq.txt	GSM2609097_Count_mock_3hr_RNA_Seq.txt		GSM2609097_Count_mock_3hr_RNA_Seq.txt.gz
GSM2609097_Count_mock_3hr_RNA_Seq.txt	GSM2609097_Count_mock_3hr_RNA_Seq.txt		GSM2609097_Count_mock_3hr_RNA_Seq.txt.gz
GSM2609097_Count_mock_3hr_RNA_Seq.txt	GSM2609097_Count_mock_3hr_RNA_Seq.txt		GSM2609097_Count_mock_3hr_RNA_Seq.txt.gz
GSM2609097_Count_mock_3hr_RNA_Seq.txt	GSM2609097_Count_mock_3hr_RNA_Seq.txt		GSM2609097_Count_mock_3hr_RNA_Seq.txt.gz
GSM2609097_Count_mock_3hr_RNA_Seq.txt	GSM2609097_Count_mock_3hr_RNA_Seq.txt		GSM2609097_Count_mock_3hr_RNA_Seq.txt.gz
GSM2609098_Count_mock_6hr_RNA_Seq.txt	GSM2609098_Count_mock_6hr_RNA_Seq.txt		GSM2609098_Count_mock_6hr_RNA_Seq.txt.gz
GSM2609098_Count_mock_6hr_RNA_Seq.txt	GSM2609098_Count_mock_6hr_RNA_Seq.txt		GSM2609098_Count_mock_6hr_RNA_Seq.txt.gz
GSM2609098_Count_mock_6hr_RNA_Seq.txt	GSM2609098_Count_mock_6hr_RNA_Seq.txt		GSM2609098_Count_mock_6hr_RNA_Seq.txt.gz
GSM2609098_Count_mock_6hr_RNA_Seq.txt	GSM2609098_Count_mock_6hr_RNA_Seq.txt		GSM2609098_Count_mock_6hr_RNA_Seq.txt.gz
GSM2609098_Count_mock_6hr_RNA_Seq.txt	GSM2609098_Count_mock_6hr_RNA_Seq.txt		GSM2609098_Count_mock_6hr_RNA_Seq.txt.gz
GSM2609099_Count_H1N1_1hr_RNA_Seq.txt	GSM2609099_Count_H1N1_1hr_RNA_Seq.txt		GSM2609099_Count_H1N1_1hr_RNA_Seq.txt.gz
GSM2609099_Count_H1N1_1hr_RNA_Seq.txt	GSM2609099_Count_H1N1_1hr_RNA_Seq.txt		GSM2609099_Count_H1N1_1hr_RNA_Seq.txt.gz
GSM2609099_Count_H1N1_1hr_RNA_Seq.txt	GSM2609099_Count_H1N1_1hr_RNA_Seq.txt		GSM2609099_Count_H1N1_1hr_RNA_Seq.txt.gz
GSM2609099_Count_H1N1_1hr_RNA_Seq.txt	GSM2609099_Count_H1N1_1hr_RNA_Seq.txt		GSM2609099_Count_H1N1_1hr_RNA_Seq.txt.gz
GSM2609099_Count_H1N1_1hr_RNA_Seq.txt	GSM2609099_Count_H1N1_1hr_RNA_Seq.txt		GSM2609099_Count_H1N1_1hr_RNA_Seq.txt.gz
GSM2609100_Count_H1N1_3hr_RNA_Seq.txt	GSM2609100_Count_H1N1_3hr_RNA_Seq.txt		GSM2609100_Count_H1N1_3hr_RNA_Seq.txt.gz
GSM2609100_Count_H1N1_3hr_RNA_Seq.txt	GSM2609100_Count_H1N1_3hr_RNA_Seq.txt		GSM2609100_Count_H1N1_3hr_RNA_Seq.txt.gz
